2HNO30ND01TODGAX,2HNO30ND01TODGAY,048HNO310ND01TODGAX,048HNO310ND01TODGAY,1HNO310ND01TODGAX,1HNO310ND01TODGAY,2HNO310ND01TODGAX,2HNO310ND01TODGAY
0.00635375263808448,1.35838784326686,0.00628029144183425,1.44556219843176,0.00642807311728432,2.16138323779835,0.00635375263808448,3.89219083947167
0.00722080901838546,1.33202152042834,0.00681292069057962,1.47168949489183,0.00713732303795785,2.11982834033364,0.00697323567654597,3.88927173245321
0.00801752649966579,1.33089769386626,0.00722080901838546,1.44393626602993,0.00765311754650134,2.11863583982278,0.00730527154266446,3.88781300003532
0.00839928705945847,1.33039851979346,0.00765311754650134,1.4432593340664,0.00820618709130546,2.07848751110941,0.00765311754650134,3.88635481473793
0.00879922543569107,1.32989953294373,0.00801752649966579,1.46975846960537,0.0093260334688322,2.07634439883986,0.00801752649966579,3.81342327084019
0.00921820717877746,1.35431731230248,0.00839928705945847,1.46920721361876,0.00965713905296605,2.07576029728104,0.00849753435908645,3.88307589716532
0.00954548456661835,1.32902675625102,0.00869749002617784,1.44177120061818,0.0103550336648913,2.07459258706232,0.0093260334688322,3.80877680808062
0.0104761575278967,1.30359705052965,0.00911162756115489,1.46824301310508,0.0104761575278967,2.07439803256687,0.00977009957299225,3.80734826654775
0.0111033631816764,1.30298591101343,0.0093260334688322,1.4679676434868,0.0108480963880074,2.07381447854514,0.0104761575278967,3.80520645880487
0.0124726747088604,1.30176449137187,0.00977009957299225,1.46741705917764,0.0109749876549306,2.0736199970204,0.0112332403297803,3.73309747392944
0.0133740402611082,1.30103218923615,0.01,1.44014953223639,0.0111033631816764,2.07342553373407,0.0124726747088604,3.7998572092492
0.0143405449978327,1.32467145696528,0.0109749876549306,1.46604150169594,0.0114975699539774,2.07284225328838,0.0129154966501488,3.79878826205505
0.0151991108295293,1.29969070508822,0.01176811952435,1.46521678621948,0.0120450354025878,2.07206480126136,0.0133740402611082,3.79771961556907
0.0164881419290742,1.29883775362306,0.0121859273847109,1.43785529056199,0.0123284673944207,2.03356171692073,0.0141747416292681,3.72610193941521
0.0176796941424003,1.27422466811887,0.0129154966501488,1.46411788722387,0.0126185688306602,2.03318032153268,0.0151991108295293,3.72400583645172
0.0183073828029537,1.27386621283787,0.0133740402611082,1.46370601261352,0.0133740402611082,2.07031660018032,0.0161090788420683,3.79202524277946
0.0194034424955792,1.27326901143984,0.0136887450953708,1.43650744429691,0.0140108552559802,2.06954009543914,0.0168761247578815,3.72086389271273
0.0203273520167171,1.27279145190905,0.0143405449978327,1.43596865962932,0.0143405449978327,2.06915195229049,0.0176796941424003,3.71946832429884
0.0223092437440898,1.27183687012888,0.0145082877849594,1.43583399504033,0.0150233808433186,2.06837588436879,0.0183073828029537,3.65001087789183
0.0244843674682223,1.27088300427619,0.0148496826225447,1.43556470374754,0.0159228279334109,2.02937029963739,0.0198600253258591,3.647615475575
0.0253536449397011,1.27052548904688,0.0153768963469401,1.43516086150359,0.0164881419290742,2.02879941247816,0.0205651230834865,3.57949981109871
0.0275038784093195,1.26969167791538,0.0162975083462064,1.43448804353868,0.0168761247578815,2.02841891026239,0.0212952541852136,3.57849285318718
0.0281510727744773,1.26945354668673,0.0174752840000768,1.4336810783273,0.0176796941424003,2.02765811990753,0.0223092437440898,3.51133866345128
0.0288134962844146,1.26921546011969,0.0178864952905744,1.40704043299477,0.0191791026167249,1.98904727711296,0.0239214708146264,3.44479849820231
0.0319926713779739,1.24481343951384,0.0191791026167249,1.40624890832118,0.0194034424955792,1.9888607450238,0.0250605096553008,3.44350647244836
0.0335160265093884,1.244346552692,0.0203273520167171,1.4055896445731,0.0200923300256505,1.98830125370719,0.0268715630702523,3.37825173296749
0.0359381366380463,1.24364655077602,0.0205651230834865,1.37960037233266,0.0217963532777912,1.98699638597144,0.0278255940220713,3.31516617389469
0.0380897463695407,1.22019377254611,0.0217963532777912,1.40479893603443,0.0225701971963392,1.98643741912227,0.0294915072964707,3.25264852607654
0.0389860370254907,1.19752014587784,0.0239214708146264,1.40374534986591,0.0242012826479438,1.94879426168463,0.0312571584968824,3.1913098406644
0.0418034496185146,1.19684648595993,0.0242012826479438,1.40361370716653,0.0247707635599171,1.94842876446983,0.0331285189148724,3.13112788469842
0.0437939523413049,1.19639758989701,0.0256502090568005,1.37714425652229,0.0268715630702523,1.94715006395832,0.0351119173421513,3.01556104330873
0.0464158883361278,1.19583670657497,0.0262537846878306,1.37688597251559,0.028480358684358,1.91043056467463,0.0363585086116858,3.01471272840148
0.0480638086306439,1.17350562139921,0.0275038784093195,1.37636954981694,0.0301854726004992,1.87440352441226,0.0385352859371053,2.90344265558802
0.0527499706370261,1.1510516696829,0.0278255940220713,1.35092055545948,0.0327454916287773,1.87317340464132,0.0413201240011533,2.69408199309683
0.0559081018251222,1.15051204498808,0.0301854726004992,1.37533728542432,0.0343046928631492,1.87247084155042,0.042292428743895,2.64402059244099
0.0592553097554567,1.1080477803792,0.0316227766016838,1.34952763180604,0.0355226249461667,1.83750427327075,0.0437939523413049,2.59464608442361
0.0628029144183425,1.10752831634377,0.032366892850406,1.34927452730937,0.0376493580679247,1.80285248238157,0.047508101621028,2.54523860734962
0.0681292069057962,1.06645048798168,0.0331285189148724,1.34902147028256,0.0403701725859655,1.8018382953055,0.0491947991640822,2.45175618915537
0.0722080901838546,1.0463392861517,0.0339080668189405,1.3487684607167,0.0418034496185146,1.76819072099691,0.0515372465596163,2.40574640037904
