,0HNO301TODGAX,0HNO301TODGAY,001HNO301TODGAX,001HNO301TODGAY,01HNO301TODGAX,01HNO301TODGAY,048HNO301TODGAX,048HNO301TODGAY,07HNO301TODGAX,07HNO301TODGAY,1HNO301TODGAX,1HNO301TODGAY,2HNO301TODGAX,2HNO301TODGAY,0HNO301TODGAXX,0HNO301TODGAYYX,0HNO301TODGAYlog,001HNO301TODGAXX,001HNO301TODGAYYX,001HNO301TODGAYlog,01HNO301TODGAXX,01HNO301TODGAYYX,01HNO301TODGAYlog,048HNO301TODGAXX,048HNO301TODGAYYX,048HNO301TODGAYlog,07HNO301TODGAXX,07HNO301TODGAYYX,07HNO301TODGAYlog,1HNO301TODGAXX,1HNO301TODGAYYX,1HNO301TODGAYlog,2HNO301TODGAXX,2HNO301TODGAYYX,2HNO301TODGAYlog,Calculated Rg
9,0.0121455052040273,0.4546928455862415,0.0104587677602903,0.9546974703287536,0.0095613558204894,2.00453398090524,0.01,4.208826990208894,0.0091419525126008,9.11447259852119,0.0112706263472941,18.55480420138845,0.010616320618413,81.79969377519475,0.00014751329666105422,0.005522474322301678,-0.7881331526355446,0.00010938582306368779,0.009984959123505074,-0.046360773684442434,9.141952512600651e-05,0.019166062645697104,0.6954116052666585,0.0001,0.042088269902088936,1.4371839842177603,8.357529574264809e-05,0.08332407567308193,2.209863545625158,0.00012702701826031995,0.20912426510105192,2.9207287421199646,0.00011270626347294098,0.8684117756054696,4.4042735000221676,
10,0.0123284673944206,0.4408545241834125,0.0109385823063689,0.9546974703287536,0.0104587677602903,1.884376958659312,0.010303553085423,4.208826990208894,0.0094194593017998,8.837078743614603,0.0119652582873207,18.55480420138845,0.0109385823063689,84.36736721624852,0.00015199110829529184,0.005435060627078009,-0.8190403350918409,0.00011965258287320676,0.010443036856873252,-0.046360773684442434,0.00010938582306368779,0.0197082609834599,0.6335972403540667,0.00010616320618412983,0.043365872320978445,1.4371839842177603,8.872621353826279e-05,0.08324050357227786,2.1789563631688624,0.0001431674058822967,0.2220130247402761,2.9207287421199646,0.00011965258287320676,0.9228593902665837,4.435180682478465,
11,0.0132854608326685,0.4546928455862415,0.0117876863479358,0.9256417889712792,0.0109385823063689,1.884376958659312,0.0112706263472941,4.208826990208894,0.0097053898952076,8.837078743614603,0.0123284673944206,18.55480420138845,0.0117876863479358,84.36736721624852,0.00017650346953636882,0.006040803990930598,-0.7881331526355446,0.00013894954943731205,0.010911175078935619,-0.07726795614073874,0.00011965258287320676,0.02061241245851999,0.6335972403540667,0.00012702701826031995,0.04743611636705088,1.4371839842177603,9.41945930179978e-05,0.08576729474143105,2.1789563631688624,0.00015199110829529184,0.22875229860667584,2.9207287421199646,0.00013894954943731205,0.9944960627462591,4.435180682478465,
12,0.0134855955305256,0.4546928455862415,0.0121455052040273,0.9256417889712792,0.0117876863479358,1.884376958659312,0.0117876863479358,4.208826990208894,0.01,8.837078743614603,0.0128940577318557,18.55480420138845,0.0121455052040273,81.79969377519475,0.00018186128681293206,0.006131803806199786,-0.7881331526355446,0.00014751329666105422,0.011242387165015811,-0.07726795614073874,0.00013894954943731205,0.022212444549953157,0.6335972403540667,0.00013894954943731205,0.0496123324533091,1.4371839842177603,0.0001,0.08837078743614603,2.1789563631688624,0.00016625672479242775,0.23924671657598137,2.9207287421199646,0.00014751329666105422,0.9934986064344674,4.4042735000221676,
13,0.0145324106796185,0.4546928455862415,0.0121455052040273,1.0155736154404191,0.0123284673944206,1.9435271149298283,0.012702701826032,4.340941094577665,0.0104587677602903,8.56812721489949,0.0134855955305256,19.13723520758256,0.0125141857618977,81.79969377519475,0.0002111909601610898,0.006607783165143622,-0.7881331526355446,0.00014751329666105422,0.01233465463140443,0.015453591228149243,0.00015199110829529184,0.023960710666584725,0.6645044228103629,0.0001613586336810767,0.05514168036878905,1.4680911666740566,0.00010938582306368779,0.08961205268125672,2.148049180712567,0.00018186128681293206,0.25807701358199253,2.9516359245762605,0.0001566048452832831,1.0236565631691341,4.4042735000221676,
14,0.0154280731133279,0.4546928455862415,0.013088296259282,0.984665202794124,0.0128940577318557,1.9435271149298283,0.0136887450953708,4.208826990208894,0.010616320618413,8.56812721489949,0.0134855955305256,19.13723520758256,0.0138949549437313,84.36736721624852,0.00023802543999019123,0.007015034465811647,-0.7881331526355446,0.00017130349897073518,0.012887589890375485,-0.01545359122814729,0.00016625672479242775,0.025059950823332153,0.6645044228103629,0.00018738174228603814,0.057613559819486244,1.4371839842177603,0.00011270626347294098,0.09096198561272302,2.148049180712567,0.00018186128681293206,0.25807701358199253,2.9516359245762605,0.00019306977288832293,1.1722807661910064,4.435180682478465,
15,0.0161358633681076,0.4546928455862415,0.0136887450953708,0.984665202794124,0.0132854608326685,1.884376958659312,0.0147513296661055,4.208826990208894,0.0116127496875312,8.56812721489949,0.0141042711762976,19.13723520758256,0.0143167405882297,84.36736721624852,0.0002603660866342367,0.00733686163083564,-0.7881331526355446,0.00018738174228603814,0.013478830965330358,-0.01545359122814729,0.00017650346953636882,0.02503481627825128,0.6335972403540667,0.00021760172691812418,0.06208579444017397,1.4371839842177603,0.000134855955305256,0.09949951663755163,2.148049180712567,0.00019893046541453929,0.2699167549323343,2.9516359245762605,0.0002049690610706637,1.207865710546945,4.435180682478465,
16,0.0171303498970736,0.4689655486926553,0.0141042711762976,0.984665202794124,0.0145324106796185,1.9435271149298283,0.0158963970328961,4.080733704412156,0.0121455052040273,8.56812721489949,0.0149735464896617,18.55480420138845,0.0151991108295293,84.36736721624852,0.00029344888759616944,0.008033543938778292,-0.7572259701792492,0.00019893046541453929,0.013887985038072393,-0.01545359122814729,0.0002111909601610898,0.028244134201134367,0.6645044228103629,0.0002526954386274679,0.0648689631508565,1.406276801761465,0.00014751329666105422,0.1040642336773297,2.148049180712567,0.00022420709447806025,0.2778312233160602,2.9207287421199646,0.00023101297000831483,1.282308964715358,4.435180682478465,
17,0.0179162351226007,0.4689655486926553,0.0147513296661055,0.984665202794124,0.0149735464896617,1.9435271149298283,0.0168761247578814,4.080733704412156,0.0128940577318557,8.56812721489949,0.0158963970328961,18.55480420138845,0.0158963970328961,84.36736721624852,0.0003209914809683109,0.008402097034777059,-0.7572259701792492,0.00021760172691812418,0.014525121017158749,-0.01545359122814729,0.00022420709447806025,0.029101493609319865,0.6645044228103629,0.0002848035868435775,0.06886697109935105,1.406276801761465,0.00016625672479242775,0.11047792696279803,2.148049180712567,0.0002526954386274679,0.2949545344529194,2.9207287421199646,0.0002526954386274679,1.3411371658896287,4.435180682478465,
18,0.0190204496336401,0.4689655486926553,0.0156604845283283,0.9546974703287536,0.0158963970328961,1.9435271149298283,0.0181861286812932,4.080733704412156,0.0134855955305256,8.56812721489949,0.0168761247578814,18.55480420138845,0.0168761247578814,84.36736721624852,0.00036177750426583983,0.008919935598821043,-0.7572259701792492,0.00024525077566201007,0.014951024963317612,-0.046360773684442434,0.0002526954386274679,0.03089507866312364,0.6645044228103629,0.0003307352764125552,0.07421274826252976,1.406276801761465,0.00018186128681293206,0.11554629807422333,2.148049180712567,0.0002848035868435775,0.31313319056069344,2.9207287421199646,0.0002848035868435775,1.4237942146354032,4.435180682478465,
