2HNO3038TODGAX,2HNO3038TODGAY,3HNO3038TODGAX,3HNO3038TODGAY,3HNO3048TODGAX,3HNO3048TODGAY
0.008487252508620573,13.975439145245321,0.008649406361616494,24.332200243510517,0.008540963173770412,40.290205271878705
0.00892657650624273,14.207077498988216,0.008870440874709562,24.327718947470576,0.008649406361616494,39.615050508293564
0.009388641146339086,14.201844905407835,0.009270929695068847,24.31987866525158,0.008983067386085675,39.60410707162746
0.009689500062613703,14.198575513126983,0.009448056152586483,24.316519317842484,0.009212628565518407,39.59681312671457
0.010063283925033788,14.194653235864095,0.009750819022171427,23.905737688059688,0.010126968335584345,38.90997877500459
0.010320449904927862,14.432583061204918,0.010255548766992794,23.89693299127601,0.010385761762737705,38.90281266869056
0.01078640473923446,14.187465208108536,0.010451486939618893,23.49540316995261,0.010517628051216733,38.250906849077886
0.011273396825755217,13.946510349373717,0.010923357924902418,23.885931680412156,0.011132054976554565,37.597804364511894
0.011561487091619433,13.943941800661545,0.011273396825755217,23.880432924357777,0.011931974835552847,36.952449799967255
0.011782375968952168,13.70964778218614,0.011561487091619433,23.876034830949656,0.012549607323682275,36.93883988254292
0.012549607323682275,13.935597283919982,0.01185693946870607,23.473775228273556,0.013282739984823986,36.30813985235903
0.013282739984823986,13.697658527436392,0.012870310991463341,23.459727743481942,0.013882438347374154,36.29643854719744
0.013795137303877216,13.465642410476626,0.01370838526135582,23.05811058133142,0.014974159878224662,35.67177890061019
0.01423720234762664,13.238165835266734,0.01423720234762664,22.667543589842047,0.01584893192461114,33.903690539422975
0.014417969736172204,13.2369467331871,0.014879993439293113,22.282566098553886,0.01720348520717692,32.763362061471504
0.014786419175034017,13.234508865818638,0.01565022363990302,22.274359230369363,0.01809398585936961,32.75129502248995
0.015551805709238678,13.009139631465672,0.016050163175336883,22.270256929845257,0.01903058132328247,32.19357623155314
0.01625394942575984,13.004947075379448,0.016669317099211448,22.264104895627902,0.020398068275227704,31.113631583818243
0.016987794014055483,13.221108618691392,0.01720348520717692,22.25897949866922,0.02186381920198137,30.06991405275352
0.01720348520717692,12.999558631453759,0.01786712988505217,21.881948491477452,0.022850942083969678,29.559217336569976
0.018791982647375752,12.991181044939708,0.018791982647375752,21.5093228030084,0.02388263227485967,28.096688363391262
0.01891090568948503,12.990582852536658,0.019272209446864426,21.50536140033481,0.025598774701576864,26.701603722351038
0.01976470838300172,12.986396276887161,0.02014232453315033,21.140121997647334,0.027094223709253663,25.378126278233037
0.02091933839490462,12.764664339721381,0.021051724179178576,20.781085690959607,0.02922492630233721,24.11691583897919
0.02186381920198137,12.760550572579042,0.022002182031514404,20.77438840968198,0.03035231221096412,23.708414403876425
0.022850942083969678,12.543829924070458,0.022707241745534824,20.76960595884137,0.033364734341149144,22.151618304459245
0.02388263227485967,12.330789981909362,0.023732444053822615,20.416862364662883,0.0342173660133414,21.778411394648835
0.025277826347720852,12.325680866893988,0.024960901930441638,20.069185493109444,0.035988552862066966,20.01565759567167
0.0269238390878082,11.91276017519457,0.026087854052711853,19.399530564728035,0.038090959961340605,18.706511304092135
0.02867703501300254,11.708820513692284,0.027265686591460177,19.07005584333282,0.04294145071181463,16.615673443894963
0.029783285370673197,11.510492086660445,0.028496696731038773,19.06390998888314,0.04545003757207672,15.792109838858828
0.03192343303293243,10.93896171577738,0.029595990327355503,18.42864697579402,0.04902425006658321,14.031538410932022
0.033788360819800085,10.572984127775213,0.031324951767198524,17.51522249194323,0.05221655541249363,12.46839117137554
0.035313861181927114,10.393416329049792,0.0327392324279067,16.9307864635128,0.055968698186753055,11.457611455339947
0.036676134915788576,10.0470785118165,0.0342173660133414,16.36585149888469,0.05961320420535719,10.353769448627379
0.043486671164260235,9.38215859030385,0.035988552862066966,15.81903846225666,0.06309573444801936,9.356703934377194
0.04516422065665221,9.223240042256906,0.038574594540050744,14.783015208504695,0.0659444244529136,8.599764358675863
0.04720332623310662,8.915485243136501,0.04213641029689606,14.04705366123678,0.0697968168138594,7.903331872382489
0.04840960141478949,8.765278578714994,0.04321320106658347,13.810391155735054,0.07434176653037304,7.262963951366378
0.05027705873230935,8.473194883202002,0.04545003757207672,13.126477098154611,0.07672404773205578,6.7891721076876035
0.053889834434253,8.052475405902404,0.04720332623310662,12.689066021545372,0.07918266911219758,6.346287578521152
0.055968698186753055,7.784144313688762,0.0487159563734744,12.26679554759906,0.08223723371369732,5.932020998951333
0.05812775655381867,7.399341653689537,0.050915418178841126,11.465528035258544,0.08540963173770412,5.544796496631413
0.06191285367902733,7.032266010127895,0.053889834434253,10.537018152519035,0.09039915762389122,5.0108339240864606
0.06552972662220914,6.462773835988388,0.05632289007678195,10.01566827496652,0.09270929695068847,4.684173110701806
0.0697968168138594,5.939127212997521,0.059238320859715844,9.3610134170476,0.09874623548354351,4.0929722117782354
0.07769820019603904,5.365213902773341,0.06191285367902733,8.89784982293549,0.10651168624012551,3.5164576342044644
0.08172007699109135,5.014527034079455,0.06430121483616165,8.457992063089218,0.11202502989815395,3.1250035493535466
0.08595013741090936,4.608649102066047,0.0684883081948815,7.64313750391073,0.11856939468706076,2.7307149774997574
0.09154694068206443,4.235233042632226,0.07387426120954196,7.142242908915989,0.1262902616458982,2.3860647881817045
0.09628566713207551,3.9584051955371025,0.07528567156644916,6.905197146441565,0.13882438347374154,2.049693062196487
0.10255548766992788,3.458805233153424,0.07968376812180471,6.240228317651542,0.14601032298162922,1.619343812164027
0.1099248522130609,3.125435271198261,0.08328138618246618,5.832616386636672,0.15848931924611143,1.4147670336727418
