,0HNO301TODGAX,0HNO301TODGAY,01HNO301TODGAX,01HNO301TODGAY,3HNO301TODGAX,3HNO301TODGAY,6HNO301TODGAX,6HNO301TODGAY,0HNO301TODGAXX,0HNO301TODGAYYX,0HNO301TODGAYlog,01HNO301TODGAXX,01HNO301TODGAYYX,01HNO301TODGAYlog,3HNO301TODGAXX,3HNO301TODGAYYX,3HNO301TODGAYlog,6HNO301TODGAXX,6HNO301TODGAYYX,6HNO301TODGAYlog,Calculated Rg
0,0.0172655546530812,0.4781804724081485,0.0173913254030334,0.6105402296585333,0.0173913254030334,1.4225293134853705,0.0176456221038966,3.1033927033743924,0.00029809937747853386,0.008256051080399073,-0.7377670604082954,0.0003024581992741949,0.010618103805634296,-0.4934110913558662,0.0003024581992741949,0.024739670186177787,0.3524364938256198,0.00031136797943352425,0.0547612948837346,1.1324959334929907,7.984302503319864 error[0.00259412]      0HNO301TODGAYlog
1,0.0180340559970343,0.4737074381631191,0.0177741614511676,0.6105402296585333,0.017903637141952,1.4225293134853705,0.017903637141952,3.1033927033743924,0.00032522717570416875,0.008542866466045353,-0.7471653669103121,0.00031592081529217234,0.010851840614383716,-0.4934110913558662,0.00032054022291068315,0.025468448652432158,0.3524364938256198,0.00032054022291068315,0.055562016870196594,1.1324959334929907,8.845510677109388 error[0.00116054]      01HNO301TODGAYlog
2,0.0189739800546479,0.4737074381631191,0.018431040503375,0.6105402296585333,0.018431040503375,1.4225293134853705,0.0182977507320213,3.1033927033743924,0.0003600119191141763,0.008988115483445375,-0.7471653669103121,0.0003397032540370498,0.011252891701776301,-0.4934110913558662,0.0003397032540370498,0.026218695394087096,0.3524364938256198,0.000334807681851186,0.05678510610991835,1.1324959334929907,12.700603774965273 error[0.00430534]      3HNO301TODGAYlog
3,0.0195329134591317,0.4781804724081485,0.0192514183992434,0.6105402296585333,0.019112195811338,1.4225293134853705,0.0188367638479617,3.0743626976778837,0.0003815347082019283,0.009340257785395078,-0.7377670604082954,0.0003706171103827274,0.011753765410726579,-0.4934110913558662,0.0003652760287309257,0.027187658786700618,0.3524364938256198,0.0003548236722638769,0.05791104411914077,1.1230976269909743,21.80071624187872 error[0.01028333]      6HNO301TODGAYlog
4,0.0202547906467074,0.4781804724081485,0.0198185245517766,0.6105402296585333,0.0195329134591317,1.4225293134853705,0.0195329134591317,3.0456042467961506,0.0004102565441419456,0.009685445359970693,-0.7377670604082954,0.0003927739154093719,0.012100006531334966,-0.4934110913558662,0.0003815347082019283,0.02778614197338777,0.3524364938256198,0.0003815347082019283,0.059489524183433194,1.1136993204889578,
5,0.0207006602873052,0.4781804724081485,0.020402336454586,0.6105402296585333,0.0199628923839086,1.4225293134853705,0.0202547906467074,3.0456042467961506,0.0004285173363304146,0.0098986515153442,-0.7377670604082954,0.0004162553328061289,0.012456447184553602,-0.4934110913558662,0.0003985170723315159,0.02839779959806383,0.3524364938256198,0.0004102565441419456,0.06168807641157901,1.1136993204889578,
6,0.0210033462238143,0.4781804724081485,0.0210033462238143,0.6048290651237764,0.0205509570583388,1.4225293134853705,0.020851454027857,3.0171148105292973,0.0004411405525974144,0.010043390019455423,-0.7377670604082954,0.0004411405525974144,0.012703434261020602,-0.5028093978578828,0.0004223418360136854,0.029234338835666025,0.3524364938256198,0.00043478313507583393,0.06291123076851812,1.1043010139869414,
7,0.0214656938528522,0.4781804724081485,0.0216220604723071,0.6105402296585333,0.0211563448768638,1.4225293134853705,0.0213104580469805,2.9888918724391704,0.0004607760125843767,0.010264475627125553,-0.7377670604082954,0.0004675134990681052,0.013201137766453073,-0.4934110913558662,0.0004475909285488012,0.030095520753544797,0.3524364938256198,0.00045413562217211595,0.06369465485457594,1.0949027074849247,
8,0.0219382191615702,0.4737074381631191,0.0224211461917005,0.6105402296585333,0.0217795661427448,1.409222575337463,0.0227489891463913,2.9888918724391704,0.0004812854599810859,0.010392297596888471,-0.7471653669103121,0.0005027077965496058,0.01368901174508837,-0.4934110913558662,0.00047434950136619557,0.03069225628941144,0.3430381873236035,0.0005175165071826291,0.06799426876585586,1.0949027074849247,
9,0.0222590007366551,0.4737074381631191,0.0237615618139861,0.6105402296585333,0.0220980278866304,1.409222575337463,0.0234191263508965,2.9609329396270865,0.0004954631137944123,0.010544254215031868,-0.7471653669103121,0.0005646118198398824,0.01450738940695651,-0.4934110913558662,0.0004883228364782949,0.03114103976827637,0.3430381873236035,0.0005484554790392549,0.06934246262965814,1.0855044009829082,
10,0.0225844727935954,0.4737074381631191,0.0244615272720657,0.6048290651237764,0.0229147039168163,1.409222575337463,0.0241090043830038,2.933235542513633,0.0005100584113646508,0.010698432749318738,-0.7471653669103121,0.000598366316482014,0.014795042671463258,-0.5028093978578828,0.0005250836555953563,0.032291918066751316,0.3430381873236035,0.0005812440923396964,0.0707173885508437,1.0761060944808916,
11,0.0239346526592806,0.4737074381631191,0.0251821122351399,0.6105402296585333,0.023589722728688,1.409222575337463,0.0246397170083238,2.933235542513633,0.0005728675979204079,0.011338022994551899,-0.7471653669103121,0.0006341387766231827,0.015374692587329276,-0.4934110913558662,0.0005564750184163792,0.03324316981521839,0.3430381873236035,0.0006071156542502811,0.07227409368629305,1.0761060944808916,
12,0.0244615272720657,0.4737074381631191,0.026112766660838,0.6048290651237764,0.0239346526592806,1.409222575337463,0.025,2.9057972346205374,0.000598366316482014,0.011587607417607514,-0.7471653669103121,0.0006818765826833727,0.015793760247269965,-0.5028093978578828,0.0005728675979204079,0.03372925286031906,0.3430381873236035,0.0006250000000000001,0.07264493086551344,1.066707787978875,
