,2HNO30ND01TODGAX,2HNO30ND01TODGAY,048HNO310ND01TODGAX,048HNO310ND01TODGAY,1HNO310ND01TODGAX,1HNO310ND01TODGAY,2HNO310ND01TODGAX,2HNO310ND01TODGAY,2HNO30ND01TODGAXX,2HNO30ND01TODGAYYX,2HNO30ND01TODGAYlog,048HNO310ND01TODGAXX,048HNO310ND01TODGAYYX,048HNO310ND01TODGAYlog,1HNO310ND01TODGAXX,1HNO310ND01TODGAYYX,1HNO310ND01TODGAYlog,2HNO310ND01TODGAXX,2HNO310ND01TODGAYYX,2HNO310ND01TODGAYlog,Calculated Rg
0,0.0063537526380844,1.358387843266856,0.0062802914418342,5.782248793727032,0.0064280731172843,17.291065902386812,0.0063537526380844,62.275053431546766,4.0370172585964476e-05,0.008630860342698565,0.3062985872319382,3.944206059437589e-05,0.036314207613800005,1.754792671676913,4.132012400115309e-05,0.11114823589632386,2.8501899462847033,4.0370172585964476e-05,0.39568028502753727,4.131560919141401,10.781137256934388  2HNO30ND01TODGAYlog
1,0.0072208090183854,1.3320215204283352,0.0068129206905796,5.886757979567317,0.0071373230379578,16.958626722669145,0.0069732356765459,62.22834771925138,5.214008287999592e-05,0.009618273007392356,0.286697728465412,4.641588833612761e-05,0.040106015239428736,1.772705418205175,5.0941380148163164e-05,0.12103919719983328,2.8307766555446503,4.862601580065256e-05,0.4339329344083874,4.1308106470355055,14.04604353301053  048HNO310ND01TODGAYlog
2,0.0080175264996657,1.3308976938662649,0.0072208090183854,5.775745064119727,0.0076531175465013,16.949086718582244,0.0073052715426644,62.20500800056517,6.428073117284173e-05,0.010670507528916746,0.2858536723462791,5.214008287999592e-05,0.041705552046890686,1.7536672635180695,5.857020818056608e-05,0.12971335296315392,2.830213951465229,5.3366992312062304e-05,0.45442447475774006,4.130435510982557,15.063495822082267  1HNO310ND01TODGAYlog
3,0.0083992870594584,1.3303985197934596,0.0076531175465013,5.773037336265572,0.0082061870913054,16.627900088875286,0.0076531175465013,62.181677035806885,7.054802310718534e-05,0.011174399071223815,0.2854785362933308,5.857020818056608e-05,0.044181733334781176,1.7531983434518847,6.734150657750736e-05,0.13645165906484427,2.8110820127648872,5.857020818056608e-05,0.4758836835936106,4.130060374929609,19.430106370826387  2HNO310ND01TODGAYlog
4,0.008799225435691,1.329899532943728,0.0080175264996657,5.879033878421481,0.0093260334688322,16.610755190718862,0.0080175264996657,61.01477233344311,7.742636826811147e-05,0.011702085797192032,0.2851034002403837,6.428073117284173e-05,0.04713530991267664,1.7713924420198572,8.697490026177836e-05,0.1549124588512223,2.8100503886192807,6.428073117284173e-05,0.48918755405444975,4.1111160042557415,
5,0.0092182071787774,1.3543173123024834,0.0083992870594584,5.876828854475031,0.009657139052966,16.606082378248296,0.0084975343590864,62.129214354645065,8.497534359086319e-05,0.012484377570609266,0.30329749880835566,7.054802310718534e-05,0.04936117254804386,1.7710173059669092,9.326033468832106e-05,0.16036724665175212,2.8097690365795693,7.220809018385393e-05,0.5279451336816404,4.129216318810476,
6,0.0095454845666183,1.3290267562510163,0.0086974900261778,5.7670848024727,0.0103550336648913,16.596740696498546,0.0093260334688322,60.940428929289936,9.111627561154816e-05,0.012686204390416858,0.28444691214772466,7.56463327554623e-05,0.05015916254962788,1.7521667193062782,0.00010722672220103214,0.17185980863971392,2.8092063325001475,8.697490026177836e-05,0.5683324797995479,4.109896812083661,
7,0.0104761575278966,1.303597050529651,0.0091116275611548,5.872972052420304,0.0104761575278966,16.59518426053492,0.0097700995729922,60.91757226476393,0.00010974987654930459,0.013656688054250007,0.2651274054209091,8.302175681319577e-05,0.05351233401872472,1.7703608178742507,0.00010974987654930459,0.17385376451783408,2.809112548486911,9.545484566618236e-05,0.5951707467716916,4.109521676030713,
8,0.0111033631816763,1.302985911013428,0.0093260334688322,5.871870573947195,0.0108480963880074,16.5905158283611,0.0104761575278966,60.88330334087794,0.00012328467394420487,0.01446752579058945,0.2646584853547244,8.697490026177836e-05,0.05476126149728248,1.7701732498477765,0.00011768119524349921,0.17997551483282365,2.8088311964472,0.00010974987654930459,0.6378230766177506,4.108958971951291,
9,0.0124726747088604,1.3017644913718711,0.0097700995729922,5.869668236710542,0.0109749876549305,16.588959976163213,0.0112332403297802,59.72955958287099,0.0001555676143930459,0.01623648504842646,0.2637206452223549,9.545484566618236e-05,0.057347243133091544,1.7697981137948289,0.00012045035402587689,0.18206363094652744,2.808737412433963,0.00012618568830660037,0.6709564975863158,4.089827033250949,
10,0.0133740402611082,1.3010321892361514,0.01,5.760598128945548,0.0111033631816763,16.58740426987255,0.0124726747088604,60.79771534798713,0.00017886495290574307,0.01740005687984203,0.26315794114293256,0.0001,0.05760598128945549,1.7510413111474346,0.00012328467394420487,0.18417597384968312,2.8086436284207257,0.0001555676143930459,0.7583101265773329,4.107552211752737,
11,0.0143405449978327,1.3246714569652829,0.0109749876549305,5.864166006783766,0.0114975699539773,16.58273802630707,0.0129154966501488,60.7806121928808,0.0002056512308348645,0.01899651063595524,0.2811644716844305,0.00012045035402587689,0.06435914953091493,1.7688602736624588,0.0001321941148466016,0.19066119048594501,2.808362276381015,0.00016681005372000485,0.7850117931711453,4.107270859713026,
12,0.0151991108295293,1.2996907050882165,0.0117681195243499,5.860867144877913,0.0120450354025878,16.576518410090884,0.0133740402611082,60.76351384910518,0.00023101297000831483,0.019754143070744884,0.26212631699732664,0.00013848863713938534,0.06897138507725863,1.768297569583037,0.00014508287784959346,0.19966475110119314,2.8079871403280667,0.00017886495290574307,0.8126536806243383,4.1069895076733145,
