,2HNO3038TODGAX,2HNO3038TODGAY,3HNO3038TODGAX,3HNO3038TODGAY,3HNO3048TODGAX,3HNO3048TODGAY,2HNO3038TODGAXX,2HNO3038TODGAYYX,2HNO3038TODGAYlog,3HNO3038TODGAXX,3HNO3038TODGAYYX,3HNO3038TODGAYlog,3HNO3048TODGAXX,3HNO3048TODGAYYX,3HNO3048TODGAYlog,Calculated Rg
0,0.0084872525086205,13.97543914524532,0.0086494063616164,24.33220024351052,0.0085409631737704,40.29020527187871,7.203345514508498e-05,0.11861308094455648,2.6373014421786007,7.481223040837025e-05,0.21045908757834403,3.1918005860608987,7.294805193570214e-05,0.3441171594907661,3.6961083940495154,25.070501615438364 error[0.02326939]      2HNO3038TODGAYlog
1,0.0089265765062427,14.207077498988216,0.0088704408747095,24.327718947470576,0.0086494063616164,39.61505050829357,7.968376812180415e-05,0.1268205642248375,2.6537402558612104,7.868472131171703e-05,0.21579759254008776,3.1916163976722975,7.481223040837025e-05,0.3426466698821894,3.679209109395405,30.6964719597415 error[0.01358942]      3HNO3038TODGAYlog
2,0.009388641146339,14.201844905407835,0.0092709296950688,24.31987866525158,0.0089830673860856,39.60410707162746,8.814658257472969e-05,0.1333360254328369,2.6533718790840086,8.595013741090847e-05,0.22546788529815104,3.191294067992247,8.069549966295478e-05,0.35576636259017874,3.6789328268125034,30.77276562239118 error[0.59499575]      3HNO3048TODGAYlog
3,0.0096895000626137,14.198575513126984,0.0094480561525864,24.316519317842484,0.0092126285655184,39.59681312671457,9.388641146339088e-05,0.13757709832346926,2.653141643598258,8.926576506242573e-05,0.22974383995042774,3.1911559267007967,8.48725250862056e-05,0.36479073171466464,3.6787486384239028,
4,0.0100632839250337,14.194653235864097,0.0097508190221714,23.905737688059688,0.0101269683355843,38.90997877500459,0.00010126968335584168,0.14284482572989876,2.652865361015357,9.50784716031396e-05,0.23310052178777213,3.174118500755235,0.00010255548766992705,0.39404012299272867,3.66125074150684,
5,0.0103204499049278,14.432583061204918,0.0102555487669927,23.89693299127601,0.0103857617627377,38.90281266869056,0.00010651168624012424,0.14895075048187487,2.669488363086567,0.0001051762805121655,0.24507616167358787,3.1737501239780332,0.0001078640473923445,0.40403534427743415,3.6610665531182387,
6,0.0107864047392344,14.187465208108536,0.0104514869396188,23.49540316995261,0.0105176280512167,38.250906849077886,0.00011634652719857833,0.15303174195846508,2.6523588429467053,0.00010923357924902237,0.24556189937183787,3.1568047922267723,0.0001106204998237404,0.4023088108603386,3.6441672684641278,
7,0.0112733968257552,13.946510349373716,0.0109233579249024,23.88593168041216,0.0111320549765545,37.59780436451189,0.0001270894759909474,0.1572245455029917,2.6352293228068433,0.00011931974835552805,0.26091458111490745,3.173289653006532,0.0001239226480010318,0.418540825183487,3.626945654129966,
8,0.0115614870916194,13.943941800661545,0.0112733968257552,23.880432924357777,0.0119319748355528,36.952449799967255,0.000133667983769682,0.16121270313464062,2.6350451344182426,0.0001270894759909474,0.2692135967271149,3.173059417520781,0.00014237202347626527,0.44091570112523737,3.609631945601504,
9,0.0117823759689521,13.70964778218614,0.0115614870916194,23.876034830949656,0.0125496073236822,36.93883988254292,0.00013882438347373994,0.16153222457162744,2.6180998026669817,0.000133667983769682,0.27604246849707964,3.1728752291321802,0.0001574926439786179,0.4635679355182848,3.6092635688243027,
10,0.0125496073236822,13.935597283919982,0.011856939468706,23.47377522827356,0.0132827399848239,36.30813985235903,0.0001574926439786179,0.17488627373416799,2.63444652215529,0.00014058701356455813,0.27832713198364994,3.1558838502837694,0.0001764311815044396,0.48227158099150735,3.5920419544901403,
11,0.0132827399848239,13.697658527436392,0.0128703109914633,23.459727743481945,0.0138824383473741,36.29643854719744,0.0001764311815044396,0.18194243662084342,2.6172249078211287,0.00016564490501698104,0.3019339918336722,3.1552852380208174,0.00019272209446864294,0.5038830703607212,3.5917196248100893,
12,0.0137951373038772,13.465642410476626,0.0137083852613558,23.05811058133142,0.0149741598782246,35.67177890061019,0.0001903058132328243,0.18576038593743702,2.600141434778417,0.00018791982647375693,0.3160894632478358,3.138017576589505,0.00022422546405863135,0.5341549203984159,3.5743598691844767,
13,0.0142372023476266,13.238165835266734,0.0142372023476266,22.667543589842047,0.0158489319246111,33.903690539422975,0.00020269793068726437,0.1884744457081298,2.5831040088328554,0.00020269793068726437,0.32272240481222747,3.120934103546793,0.00025118864315095687,0.5373372833523961,3.5235238739306936,
14,0.0144179697361722,13.2369467331871,0.0148799934392931,22.28256609855389,0.0172034852071769,32.763362061471504,0.00020787785131317748,0.1908498973984151,2.5830119146385555,0.00022141420475340568,0.33156443735709673,3.1038045834069314,0.00029595990327355447,0.5636440145619059,3.48931088074812,
15,0.014786419175034,13.234508865818638,0.015650223639903,22.274359230369363,0.0180939858593696,32.75129502248995,0.00021863819201981314,0.19569099566569817,2.5828277262499544,0.0002449294999789787,0.3485987033908182,3.1034362066297305,0.00032739232427906706,0.5926014690129751,3.488942503970919,
16,0.0155518057092386,13.009139631465672,0.0160501631753368,22.270256929845257,0.0190305813232824,32.19357623155314,0.00024185866081790632,0.20231561199290998,2.565652159012943,0.0002576077379549375,0.3574412576806915,3.103252018241129,0.00036216302550206485,0.6126624705618633,3.471766936733907,
17,0.0162539494257598,13.004947075379448,0.0166693170992114,22.264104895627906,0.0203980682752277,31.113631583818243,0.0002641908719351573,0.21138175204790036,2.5653298293328914,0.0002778661325540615,0.3711274244353265,3.102975735658229,0.0004160811893608508,0.6346579813370055,3.4376460377456346,
