,TODGA02M_X,TODGA02M_Y,TODGA02Octanol32_X,TODGA02Octanol32_Y,TODGA02DMDOHEMA05_X,TODGA02DMDOHEMA05_Y,TODGA02M_XX,TODGA02M_YYX,TODGA02M_Ylog,TODGA02M_YI,TODGA02Octanol32_XX,TODGA02Octanol32_YYX,TODGA02Octanol32_Ylog,TODGA02Octanol32_YI,TODGA02DMDOHEMA05_XX,TODGA02DMDOHEMA05_YYX,TODGA02DMDOHEMA05_Ylog,TODGA02DMDOHEMA05_YI,Calculated Rg
0,0.0318453819661003,0.541439936463876,0.0318357194340509,0.503407631556623,0.0318758753198613,0.681252310767926,0.0010141283525668264,0.01724236158839321,-0.6135231393509049,1.8469269306785212,0.001013513031883606,0.01602634411919672,-0.686355036370758,1.9864617405735943,0.001016071427407343,0.021715513719405815,-0.38382254105751695,1.4678849292603102,
1,0.035275329687822,0.535540346329813,0.0332927118716111,0.500649735375886,0.0348570456121985,0.6588763534914,0.0012443488845845362,0.018891362277914527,-0.6244790486461977,1.8672729456393733,0.0011084046637661147,0.016667987388467715,-0.6918485533895635,1.9974044313619854,0.0012150136288108869,0.022966483106448752,-0.4172193895627748,1.5177354517292638,
2,0.039328186468938,0.538691604197545,0.0357178049735022,0.495156069325536,0.037391722691938,0.633645658660521,0.001546706250935558,0.021185763859132397,-0.6186120347195978,1.8563497040011179,0.0012757615921251387,0.01768588791561543,-0.7028822745406482,2.019565268304444,0.0013981409258707912,0.023693102753584605,-0.45626537879841955,1.5781691018193422,
3,0.0455812340071834,0.59941117450134,0.0380761196625573,0.492466370255812,0.0427750477227971,0.662908080578833,0.0020776488936176123,0.02732190101146622,-0.5118074814616376,1.6683038997928534,0.0014497908885573827,0.018751208443645546,-0.7083291044459786,2.0305955094569184,0.001829704707687569,0.028355924782587406,-0.4111189400688034,1.5085047675491112,
4,0.0504882620895992,0.586273838131252,0.0403304121758495,0.487047341408688,0.0470932834623384,0.701270935298806,0.0025490646088280598,0.02959994719584591,-0.5339682979907543,1.7056875728712375,0.0016265421462739094,0.019642820028164077,-0.7193939503393806,2.0531884993103504,0.0022177773472641556,0.03302515093992585,-0.35486096833231356,1.4259823837899512,
5,0.0548555779426733,0.560690838097529,0.0427211615184293,0.489852263998586,0.0508525714669122,0.709305247512667,0.003009134431424706,0.030757019971001817,-0.5785856161009945,1.783514072377362,0.0018250976414837246,0.02092705769045186,-0.7136514353820459,2.0414318223971435,0.002585984024797413,0.03606999579099375,-0.34346931264459346,1.4098302578568498,
6,0.0611651892547073,0.580012088110031,0.0461303618415793,0.492696342268386,0.0549055411299791,0.697613590319303,0.003741180376564161,0.03547654913926801,-0.5447063340898355,1.7241019980436947,0.0021280102836350357,0.02272826054686325,-0.7078622333112359,2.0296477042958663,0.0030146184467758266,0.03830285167610888,-0.36008992504143167,1.4334583125628222,
7,0.0647879799801025,0.57685247194744,0.0491773271477134,0.492773023468403,0.0612123252388497,0.697798175602693,0.004197482349902162,0.03737310640400338,-0.5501687263663254,1.7335454880240422,0.0024184095053932293,0.024233260184673505,-0.7077066095996567,2.029331867563405,0.0037469487611467163,0.042713848876068,-0.35982536473174476,1.4330791265487235,
8,0.0695072375744104,0.57052262771249,0.0507742845172013,0.490058135341596,0.0709117618317435,0.694148139464825,0.004831256075225528,0.03965545182598893,-0.5612024475174109,1.7527788582365247,0.0025780279682337077,0.024882351193803335,-0.7132312513607771,2.0405742255517256,0.005028477966081914,0.04922326754167754,-0.3650698838120199,1.4406146802770097,
9,0.0750522471343833,0.570629181880232,0.0555332858977756,0.495688055273344,0.0770511390063361,0.675109863190418,0.005632839799920546,0.04282700238056613,-0.5610156990635137,1.7524515600568908,0.0030839458426040823,0.027527186489607003,-0.70180847093074,2.01739781574635,0.005936878022173729,0.052017983913233444,-0.3928798410715242,1.4812403943770336,
10,0.0800076697029011,0.567529511140558,0.0580761760334393,0.495742056785125,0.0853679640315904,0.702286619909651,0.006401227211288519,0.0454067136739827,-0.566462528968843,1.762022908712378,0.0033728422226670294,0.02879080295703218,-0.7016995343326325,2.0171780592612523,0.007287689282898913,0.05995277890831429,-0.3534136678146108,1.4239200515149353,
11,0.0863923784446789,0.57082458287694,0.0611237966880037,0.493033828828454,0.0927697531776751,0.702428714468299,0.007463643053328619,0.04931489338943058,-0.5606733268980352,1.751851672119704,0.003736118521556412,0.030136099513618436,-0.7071774889802817,2.028258390253257,0.008606227104646758,0.06516413846613571,-0.3532113569895559,1.4236320062128247,
12,0.0903441000795424,0.564525740578072,0.0635151251447349,0.493079867630466,0.104754955325669,0.698710961200236,0.008162056419182372,0.05100157000426313,-0.5717692975337509,1.7713984113036265,0.0040341711221513355,0.031318029498898364,-0.7070841147533323,2.0280690120356737,0.010973600665282909,0.07319343552608597,-0.3585181255544644,1.4312069733129904,
13,0.0975422828747624,0.552118620518451,0.067708794176668,0.490401446535735,0.115311355935009,0.710719580063903,0.009514496948420166,0.053854910663034335,-0.5939923635475021,1.8112049889948993,0.004584480808858391,0.03320449060742834,-0.7125309446586641,2.039145698007502,0.013296708807570336,0.08195403846672886,-0.3414773291363584,1.4070246944794835,
14,0.111562105564905,0.549213509232998,0.0717225085532761,0.493225685533793,0.135312370820038,0.719007591700448,0.012446103398075009,0.06127141549472366,-0.5992680073700934,1.8207855108963835,0.005144118233174763,0.035375383449392936,-0.7067884297013288,2.0274694309923276,0.01830943769693947,0.0972906218705935,-0.3298833626235812,1.3908058990517844,
