3m_X,3m_Y,1m_X,1m_Y,01m_X,01m_Y
0.00107037477312857,0.0984410720671368,0.00102957556731251,0.0837025134871325,0.00104468976957338,0.0801234670991443
0.00114015008854679,0.0981260141635226,0.00114015008854679,0.0829112431015614,0.00115688752831628,0.0801123924494461
0.00125039265383826,0.0975034126389935,0.00129994222441325,0.0828965091382392,0.00131263342785717,0.0800986830991835
0.00135803634288098,0.0971887967317329,0.00140500970754359,0.0818597566528495,0.00141185153238039,0.0798412784060859
0.00146068632036499,0.096273837765938,0.00153339487867207,0.0813408986127343,0.00162543820782049,0.0795773672840024
0.00156348178877268,0.0962649662610793,0.00171465683573557,0.0813285850163888,0.00177396541111978,0.0795679393327261
0.00168984978681246,0.0956560618395409,0.00190805424494477,0.0810634927130261,0.00201278537584994,0.0795543231527989
0.00186226805743806,0.0959423467228901,0.00211297575952044,0.0810522881331744,0.0023060525425632,0.0795396621802432
0.00201278537584994,0.0959322428369345,0.00236274972624328,0.080535897512331,0.00265491507141978,0.0795244804498371
0.00217546821632585,0.0956233260739423,0.00265491507141978,0.0802723322230794,0.00289751248832427,0.0795150587643436
0.00229487742450099,0.095021607492646,0.00298320806396155,0.0800096294890839,0.00324002620840688,0.0792553560012759
0.00250457578407926,0.0950103497806079,0.00350190046143171,0.0797430622767087,0.003658399586122,0.07924231491158
0.00269388930959018,0.0947050250364283,0.00407103317382438,0.0794784294862433,0.00409085744673194,0.0792303190042819
0.00298320806396155,0.0949878383576555,0.0045967116067037,0.0794653516908726,0.00455226827550731,0.0792188463574295
0.00316227766016838,0.094684455676343,0.00539594495303417,0.0792005978429182,0.00536979623317875,0.0787084375831834
0.00355330847221974,0.0946694989478495,0.00600455756425943,0.0791891294997262,0.00630344632475667,0.078201832134079
0.00395408875567138,0.0946557906889056,0.00687943454089358,0.0789278935506804,0.00711738854636331,0.0777025790588485
0.00444303081048481,0.0943460160216718,0.0077301096441154,0.0789154257906246,0.00839557861999512,0.0784157461892181
0.0048963608606812,0.0940397311137001,0.00889953035288524,0.0784095525149905,0.00985532353526315,0.0779110246430299
0.00544862501364382,0.0937332065513519,0.0104468976957338,0.0783925224332268,0.0114570215495004,0.0778951282977911
0.00603379731317828,0.0934282960882661,0.0130627241341453,0.0783687897027096,0.0137129471328241,0.07787615948625
0.00677990531401708,0.0928324458716105,0.015787459021229,0.078348674102808,0.0153339487867207,0.0778643703911059
0.00750805466789893,0.0922422172552639,0.018000072800983,0.0778474587196104,0.0171465683573557,0.0776100589128861
0.008274114356579,0.0910861835727914,0.0206227221973438,0.0768677807398978,0.0201278537584994,0.0775932024763094
0.00947967064863561,0.0902209555038874,0.0240910949931445,0.075898433214645,0.0231728207889733,0.0768556384033527
0.0108608790903585,0.0888080453722218,0.0268083473666715,0.0751804427803375,0.0268083473666715,0.0761245841833047
0.0123230241496923,0.0874184130253962,0.0284175411724657,0.073780313074459,0.0285559230199011,0.0749398298715405
0.014187266741166,0.0863177203800914,0.0314695327984936,0.0710591975628414,0.0313170316139391,0.0706176287605649
0.016333534296451,0.0844368388377711,0.0335209606088303,0.0690856764191502,0.0331968630186777,0.0680171865258358
0.0177396541111978,0.0831205293715024,0.0355330847221974,0.0644975788148609,0.0346804231775414,0.0653097106241111
0.0196448603170206,0.0810602912464544,0.0364067100165174,0.0604051314771944,0.0365839958612199,0.0613544465676175
0.022507158798903,0.0783110357023191,0.0393492726309585,0.0567450292339112,0.0385920536875249,0.0572801701611391
0.0244447530382383,0.0754248070126948,0.041914362894883,0.0526466008555804,0.0397334355690884,0.0544887607273391
0.0261650469874882,0.0733295574808951,0.0431540039560417,0.0491521914814325,0.041107782557716,0.0507132692231956
0.0298320806396155,0.0678151210198846,0.044864076674439,0.0460325180276242,0.0421184687651365,0.0482421992413666
0.0338482223307228,0.0627157870378282,0.0482552204274128,0.0391346223415306,0.0442149990737449,0.0442036500247882
0.0350190046143171,0.059103283447494,0.0487263312261653,0.0373448076190138,0.046641914801237,0.0402509634219714
0.0374834591192381,0.0565719823651468,0.0499243289736562,0.0342196492498989,0.0487263312261653,0.0372284721291841
0.0387799812655371,0.0543208066424918,0.0519026907740839,0.0307738777065822,0.0511517809929315,0.0334792843114785
0.0401213490508285,0.0518347485862613,0.0547515759754313,0.0273312983660935,0.0534377422987733,0.0305812367139145
0.0415091136490296,0.0490016542633703,0.0571984112895525,0.0252789596315877,0.0550181938431594,0.0282854149064622
0.0431540039560417,0.0461787969926834,0.0597545951100458,0.0223814356006194,0.0571984112895525,0.0253579540136543
0.0442149990737449,0.0437918296984153,0.0624250141964642,0.0198160314682703,0.0591768574818883,0.0231632132889907
0.0457443596729187,0.0410126466055717,0.0639598111843049,0.018101184577826,0.0606317944776131,0.0212248257464926
0.0473266196024397,0.0380519975307531,0.0661721286603886,0.016227869699033,0.0621225029176424,0.0193276669581615
0.048963608606812,0.0355260686787165,0.0687943454089358,0.0145937929962233,0.0648987432583533,0.0166384572429855
0.0504117351090263,0.0331680317798467,0.0704857403645191,0.0133725277862224,0.0664943599666505,0.0156802688301509
0.0516511706172611,0.0305826458212478,0.0736357318596182,0.0126414687950513,0.0691293458424011,0.0144126974111238
0.0529210791964139,0.028375298349647,0.077301096441154,0.0119502972026335,0.0732788935040557,0.0133301680962308
0.0539594495303417,0.0269928527189632,0.0807556646288785,0.0114388611527415,0.0761827315058151,0.0126015078023998
0.0555553308620724,0.0248111141678736,0.0847754379836592,0.0110177785497016,0.0799748780457369,0.0118754115258341
