0mM048Hno301MTODGAX,0mM048Hno301MTODGAY,5mM048HNO301MTODGAX,5mM048HNO301MTODGAY,10mM048HNO301TODGAX,10mM048HNO301TODGAY,14mM048HNO301TODGAX,14mM048HNO301TODGAY
0.00717845741595677,0.539269347937026,0.00705097260357978,0.92846329496843,0.00698808174555432,1.48896182931122,0.0066819423406612,3.08331165963555
0.0079219607226147,0.539597517336213,0.00771186703589627,0.91586631917926,0.00757490920983714,1.48970314247805,0.00724306160386227,3.04131045698674
0.00835947471169948,0.53977660299239,0.00821101578752698,0.929336639062425,0.00813777797238129,1.4798083201418,0.00806519339889366,3.04332953766604
0.00890053971544126,0.539985611380176,0.00898064218132182,0.929850754577215,0.00882115172018658,1.48054507602802,0.00906146554787193,3.00253712840019
0.00922530099301951,0.540105081078855,0.00947662502229663,0.94347457315887,0.00956191210114583,1.47079242340155,0.00991080541428635,3.00419815289504
0.0100899973130187,0.54040387097923,0.0100899973130187,0.93051952996634,0.0100899973130187,1.47128056098147,0.011035742449353,3.00619259526884
0.0106472476111263,0.540583224254079,0.0111350611661138,0.93108579251445,0.0109373096017718,1.47201307113081,0.0123989587173096,3.00835473538949
0.0117500282430878,0.525752192394268,0.0122883667187025,0.91850403267828,0.0120701331853989,1.45212176241836,0.0139305695089468,2.96803112400791
0.0126231375667556,0.525984859350851,0.0139305695089468,0.91921548335463,0.0134401671302557,1.45308580441143,0.0165157702457232,2.97115157812748
0.0135611250230802,0.526217629272126,0.0153734177273547,0.90679412697454,0.0162224607296206,1.44447235906101,0.0177430075502445,2.93051615430278
0.0146999269003162,0.52647961856528,0.0174279030845527,0.907496507445385,0.0185559199483943,1.43543356914403,0.0190614371745426,2.93181302816218
0.0159343602029237,0.526741738295702,0.0195807261601424,0.90814920501745,0.022397242515472,1.42692476081045,0.0204778353461292,2.89171562422924
0.0179026898506837,0.519681357781521,0.0216087850874641,0.88323391133319,0.0253903835076518,1.40787630043117,0.0225988116800139,2.8934753618866
0.0195807261601424,0.519968849135626,0.0244965575617682,0.871443348419335,0.029303943616797,1.39914388853071,0.0244965575617682,2.81378091182611
0.0221974712387424,0.527820713418731,0.0275225529517833,0.872070115523165,0.0347420972098676,1.37106952666784,0.0263168232124083,2.77529779277435
0.025618890136872,0.520832277803262,0.0314814316928032,0.86047616923989,0.039384989978534,1.35276669510079,0.028526790868202,2.69885828536999
0.0280201733080746,0.521120405854356,0.0344322165131218,0.860952190662185,0.044250114305098,1.32518309784585,0.0306465310565713,2.66194692376995
0.0320506303889772,0.521552896823141,0.0383404836958485,0.837378068762815,0.0529340847734941,1.27126984679848,0.0350547667496197,2.58948855179924
0.0360097605467381,0.52192801265738,0.0419341740463177,0.82601689668875,0.058942427172511,1.20180668116349,0.0363338387159033,2.55350804899343
0.0397394443056675,0.522245629082248,0.0462774744601506,0.81485493256223,0.0674207802630171,1.11235722302542,0.0390336971920868,2.48303992565175
0.0479660385483148,0.522852524532281,0.0515302508727046,0.80388825816086,0.0750734512095813,1.05157716580714,0.0423115703451003,2.41465002195338
0.0543761631925545,0.515872804317669,0.05841669263525,0.78196311842964,0.0866449370763124,0.95962596792773,0.0450501766279869,2.31474847443583
0.0616429293106008,0.508986258548982,0.066819423406612,0.749942616777245,0.0964796674078821,0.907191264370755,0.0501636472296864,2.15738589497061
0.0686397788331969,0.502136098662573,0.0750734512095813,0.729448439625415,0.107430699787308,0.845518059266048,0.0558575280217913,2.03950466453136
0.0771186703589627,0.488413893883033,0.079219607226147,0.70923969372826,0.117500282430878,0.755058081609473,0.0616429293106008,1.90074874554065
0.0991080541428634,0.45561324362692,0.091430163030039,0.651838935139325,0.135611250230801,0.655595956827355,0.0680275491695465,1.74643281331226
0.107430699787308,0.4430643733758,0.0956191210114583,0.63374524376247,0.159343602029237,0.473252914095823,0.0730824721209989,1.60437910141834
0.11855775340065,0.418831829740451,0.106472476111262,0.574107291124245,0.168143829321444,0.440933618407283,0.0799325624050218,1.45323988229823
0.134401671302557,0.390401740522852,0.117500282430878,0.52749728965151,0.18390411189161,0.3719969049604,0.0882115172018658,1.31641141216756
0.151003956613314,0.358745905470842,0.132014783583327,0.48472502339771,0.197569474342791,0.322851703392373,0.0956191210114583,1.22671481579295
0.162224607296206,0.329565746285543,0.141824405826269,0.451672233724342,0.212250268852567,0.260977243784738,0.10458159303516,1.06476901304786
0.182263786784489,0.286105308752685,0.152362951648352,0.409077570004803,0.232144690349981,0.205071145283101,0.112352737246387,0.96435664615121
0.206621303618882,0.251945510772163,0.182263786784489,0.312609443626297,0.244965575617682,0.175447601432556,0.11855775340065,0.873317000233161
0.212250268852567,0.238060489829954,0.197569474342791,0.263720681215388,0.258494532643559,0.154431536603105,0.129670285463341,0.779882879622214
0.223972425154719,0.203671471570832,0.208480839832693,0.235453735970428,0.277702485330907,0.126621772976684,0.135611250230801,0.696252495377579
0.236341972619743,0.184443959913792,0.21803258347011,0.216266196812913,0.30373180592456,0.0980928759125635,0.153734177273547,0.579236758845346
0.25618890136872,0.164701627679187,0.232144690349981,0.195860517753571,0.326301204581384,0.081579812824901,0.159343602029237,0.532004312840331
0.275225529517832,0.151304904147392,0.24061514367432,0.182464665803571,0.338207223706419,0.0760001732566748,0.175847495294686,0.430117158044028
0.290425683057293,0.131301208292035,0.25618890136872,0.160616941701958,0.350547667496197,0.0698029248519408,0.187229182419888,0.337922125184281
0.30102268266481,0.120594572125834,0.295676712354332,0.119274065868994,,,0.201141620879742,0.293278606017784
