TEHDGA05hno346_X,TEHDGA05hno346_Y
0.01,0.172108641677761
0.0105573423235909,0.172073684303839
0.0108743315355043,0.17354482036246
0.0112562016049081,0.173522388301658
0.0120013229359073,0.173480736452498
0.0121202555632901,0.17347432936316
0.0127328333076567,0.173442297465753
0.0133763717434818,0.170444966919165
0.0142618409512381,0.170404053765989
0.0146900594919465,0.170385174084659
0.0156624902519218,0.168881557111895
0.0161327639523838,0.167412848729114
0.0168647818575014,0.165947719491068
0.0179811716616067,0.165907885845114
0.0188899697904924,0.165877251085504
0.0198447000785616,0.164422524416923
0.0209507292038365,0.162977545880557
0.022782517527309,0.162926389939979
0.024052283652901,0.16149455973724
0.0261552506627635,0.160057577426344
0.0278866371349069,0.154593313741492
0.0304747423697674,0.151899278352197
0.0323322534324167,0.149268728854395
0.0351591643114045,0.144162140437342
0.0382332409233482,0.139230252009104
0.0409656358542106,0.134474536626384
0.0461117456048246,0.126540733956697
0.0496513975865712,0.121166749687205
0.0537270158732559,0.116018847509742
0.0567214498598963,0.112062176741436
0.0610755290596894,0.105468198125601
0.0704637478328901,0.0983844361275862
0.0762477408960327,0.0942044655145502
0.0821007066345084,0.0894291865566714
0.0906094402556976,0.0841592105412433
0.1,0.0785197136321303
0.108743315355043,0.0732621772240929
0.118251086344063,0.0683566758376213
0.131151426684699,0.0632273020776387
0.144031752211935,0.0595024767323459
0.154325193733571,0.0569765530751987
0.175433023802253,0.0513504002509095
0.186126101319128,0.0487501193752922
0.216864485801503,0.0443127357524244
0.223375944873225,0.043176207107723
0.244107037312645,0.0395956015771525
0.257712155650716,0.0375912542155148
0.281629925868047,0.0350735648932897
0.301757023734633,0.0332962804244673
0.331392451987929,0.0294991080415975
0.346429255922581,0.0275279682116829
0.374865784985411,0.0241805438008691
0.391875174537953,0.0221789356299024
0.417815945846628,0.0193157398441763
0.443282863077447,0.0163928346879774
0.467988893169006,0.0142771244831679
0.494071894882359,0.0120128529157474
0.521608612673827,0.0101952268013557
0.55068006829309,0.00872756197876867
0.584245383019085,0.0074710384556608
0.613774110117086,0.00667746520609657
0.632202968961998,0.00602032163204924
