TODGA02M_X,TODGA02M_Y,TODGA02Octanol32_X,TODGA02Octanol32_Y,TODGA02DMDOHEMA05_X,TODGA02DMDOHEMA05_Y
0.0318453819661003,0.541439936463876,0.0318357194340509,0.503407631556623,0.0318758753198613,0.681252310767926
0.035275329687822,0.535540346329813,0.0332927118716111,0.500649735375886,0.0348570456121985,0.6588763534914
0.039328186468938,0.538691604197545,0.0357178049735022,0.495156069325536,0.037391722691938,0.633645658660521
0.0455812340071834,0.59941117450134,0.0380761196625573,0.492466370255812,0.0427750477227971,0.662908080578833
0.0504882620895992,0.586273838131252,0.0403304121758495,0.487047341408688,0.0470932834623384,0.701270935298806
0.0548555779426733,0.560690838097529,0.0427211615184293,0.489852263998586,0.0508525714669122,0.709305247512667
0.0611651892547073,0.580012088110031,0.0461303618415793,0.492696342268386,0.0549055411299791,0.697613590319303
0.0647879799801025,0.57685247194744,0.0491773271477134,0.492773023468403,0.0612123252388497,0.697798175602693
0.0695072375744104,0.57052262771249,0.0507742845172013,0.490058135341596,0.0709117618317435,0.694148139464825
0.0750522471343833,0.570629181880232,0.0555332858977756,0.495688055273344,0.0770511390063361,0.675109863190418
0.0800076697029011,0.567529511140558,0.0580761760334393,0.495742056785125,0.0853679640315904,0.702286619909651
0.0863923784446789,0.57082458287694,0.0611237966880037,0.493033828828454,0.0927697531776751,0.702428714468299
0.0903441000795424,0.564525740578072,0.0635151251447349,0.493079867630466,0.104754955325669,0.698710961200236
0.0975422828747624,0.552118620518451,0.067708794176668,0.490401446535735,0.115311355935009,0.710719580063903
0.111562105564905,0.549213509232998,0.0717225085532761,0.493225685533793,0.135312370820038,0.719007591700448
0.117416467893969,0.546213167907246,0.079962858330904,0.496127952996474,0.145182290781374,0.727233791450661
0.126780524789784,0.543263034171537,0.0891416352968608,0.487988120669439,0.154760915500045,0.715224352028121
0.141340006880879,0.540370879929956,0.0981131930924654,0.482663436055469,0.172557834111347,0.735737281800509
0.153584069689086,0.531472081403139,0.112937752455075,0.482828714873087,0.187510625375805,0.727686631668639
0.166881025052676,0.516895492138363,0.125113539815054,0.48839078207481,0.21445665660234,0.719813684562439
0.183663712156513,0.50273433960103,0.155506917803835,0.488649268087027,0.234540947984871,0.715948206219036
0.20082667562379,0.478118050386487,0.172260011012935,0.486040295628243,0.253228041166084,0.700213130362382
0.209988289032575,0.459780605257156,0.188379310024682,0.475372920599672,0.271667225214507,0.688660623552289
0.222389472441295,0.439689969165274,0.208664074279709,0.467566333776887,0.285883261821876,0.662258464521803
0.255896147466958,0.402129017955091,0.222425814939359,0.457275950162208,0.300829162267118,0.629772300292422
0.265870256999661,0.388872540226878,0.244777320111696,0.437335591787615,0.316556430389137,0.598879699487104
0.281558491055392,0.367736686047452,0.255961864692612,0.427690570118198,0.333090364490367,0.56315688683388
0.303899478404923,0.334391409631213,0.269337195139374,0.404438598892242,0.341690371999836,0.550711284121764
0.321861758894521,0.323383049263347,0.283437920297557,0.39111815739856,0.350487875984506,0.529564918396865
0.334375798225955,0.305792378390985,0.292587481464449,0.37191503828213,0.364114903564063,0.500758825417382
0.349605372462749,0.289163065682584,0.303970427632802,0.353660257648828,0.375886319074641,0.481538041971095
0.363206566591057,0.274970016765631,0.317829988519445,0.338196144320849,0.383114958576868,0.465642047590354
0.389590337671591,0.260033043075624,0.326028380041265,0.328874433628489,0.390464381382235,0.445253711951899
0.434087648676685,0.226107812409048,0.332290448605473,0.316241299754564,0.403078235776624,0.425771340101505
0.489962813780941,0.203336247001144,0.343041023841026,0.305811414401429,0.413465945098198,0.411722660939179
0.518898326066617,0.194451238594788,0.349638018118248,0.295716310585761,0.416051014202921,0.395894735578792
0.549568326973868,0.188049790331539,0.356361878660637,0.285954455027843,0.424042158951784,0.380687134491141
,,0.370208646364995,0.268889075124229,0.443355702496353,0.359984965794759
,,0.38211462106057,0.248624169213474,0.460604198808255,0.342315751309043
,,0.391962078101889,0.240420608155449,0.478490227694618,0.320088490825694
,,0.420375802333697,0.219844801930813,0.509833180476336,0.283014783709544
,,0.439542877476787,0.210231889939437,0.533041742803062,0.266128981029202
,,0.459519511828469,0.194393750769757,0.5940759750393,0.24611804831253
,,0.474275596473141,0.177740442739943,0.621235431256303,0.242042387981664
,,0.499023999617355,0.16527601611027,0.662222393412082,0.238045333072603
,,0.521777046880715,0.158049173432165,,
,,0.54560572931967,0.153700034863767,,
,,0.585334838364907,0.151164205953281,,
