0HNO301TODGAX,0HNO301TODGAY,001HNO301TODGAX,001HNO301TODGAY,01HNO301TODGAX,01HNO301TODGAY,048HNO301TODGAX,048HNO301TODGAY,07HNO301TODGAX,07HNO301TODGAY,1HNO301TODGAX,1HNO301TODGAY,2HNO301TODGAX,2HNO301TODGAY
0.00657933224657568,0.454692845586242,0.00667844455346925,0.492332601397062,0.00657933224657568,0.485881778732457,0.0067790499069228,0.542617636822208,0.00657933224657568,0.535507950931218,0.00667844455346925,0.598038600236955,0.00667844455346925,0.639060107618709
0.00688117079847246,0.454692845586242,0.00741531953658577,0.46282089448564,0.00688117079847246,0.50113349522631,0.00730527154266446,0.526103373776112,0.0067790499069228,0.552317421475913,0.00719685673001153,0.579837631293389,0.00688117079847246,0.639060107618709
0.00741531953658577,0.468965548692655,0.00811130830789687,0.477348735164377,0.00730527154266446,0.50113349522631,0.00752702531432733,0.526103373776112,0.00709005086119236,0.552317421475913,0.00752702531432733,0.579837631293389,0.00730527154266446,0.659120056376942
0.00835752957426481,0.454692845586242,0.00848342898244073,0.477348735164377,0.00752702531432733,0.485881778732457,0.00799093140398098,0.526103373776112,0.00741531953658577,0.552317421475913,0.00787234096883761,0.579837631293389,0.00775551049014945,0.639060107618709
0.00985159372650316,0.454692845586242,0.00861122496314303,0.477348735164377,0.00811130830789687,0.485881778732457,0.00835752957426481,0.526103373776112,0.00787234096883761,0.552317421475913,0.00835752957426481,0.562190598618073,0.00823349859228919,0.659120056376942
0.0088726213538264,0.454692845586242,0.00914195251260081,0.477348735164377,0.00835752957426481,0.485881778732457,0.00861122496314303,0.526103373776112,0.00823349859228919,0.552317421475913,0.0088726213538264,0.579837631293389,0.00823349859228919,0.659120056376942
0.010303553085423,0.454692845586242,0.00941945930179987,0.477348735164377,0.00861122496314303,0.485881778732457,0.00874094608669941,0.526103373776112,0.00835752957426481,0.552317421475913,0.00970538989520764,0.579837631293389,0.0090062802021128,0.659120056376942
0.0109385823063689,0.454692845586242,0.00985159372650316,0.477348735164377,0.00914195251260081,0.485881778732457,0.00927966861646634,0.526103373776112,0.00874094608669941,0.552317421475913,0.00985159372650316,0.579837631293389,0.00985159372650316,0.659120056376942
0.0116127496875312,0.454692845586242,0.01,0.477348735164377,0.00941945930179987,0.50113349522631,0.00970538989520764,0.526103373776112,0.0088726213538264,0.569654537407574,0.0104587677602904,0.598038600236955,0.010303553085423,0.639060107618709
0.0121455052040273,0.454692845586242,0.0104587677602904,0.477348735164377,0.00956135582048948,0.50113349522631,0.01,0.526103373776112,0.00914195251260081,0.569654537407574,0.0112706263472941,0.579837631293389,0.010616320618413,0.639060107618709
0.0123284673944207,0.440854524183413,0.0109385823063689,0.477348735164377,0.0104587677602904,0.471094239664828,0.010303553085423,0.526103373776112,0.00941945930179987,0.552317421475913,0.0119652582873207,0.579837631293389,0.0109385823063689,0.659120056376942
0.0132854608326685,0.454692845586242,0.0117876863479359,0.46282089448564,0.0109385823063689,0.471094239664828,0.0112706263472941,0.526103373776112,0.00970538989520764,0.552317421475913,0.0123284673944207,0.579837631293389,0.0117876863479359,0.659120056376942
0.0134855955305256,0.454692845586242,0.0121455052040273,0.46282089448564,0.0117876863479359,0.471094239664828,0.0117876863479359,0.526103373776112,0.01,0.552317421475913,0.0128940577318558,0.579837631293389,0.0121455052040273,0.639060107618709
0.0145324106796185,0.454692845586242,0.0121455052040273,0.50778680772021,0.0123284673944207,0.485881778732457,0.012702701826032,0.542617636822208,0.0104587677602904,0.535507950931218,0.0134855955305256,0.598038600236955,0.0125141857618977,0.639060107618709
0.0154280731133279,0.454692845586242,0.0130882962592821,0.492332601397062,0.0128940577318558,0.485881778732457,0.0136887450953708,0.526103373776112,0.010616320618413,0.535507950931218,0.0134855955305256,0.598038600236955,0.0138949549437314,0.659120056376942
0.0161358633681077,0.454692845586242,0.0136887450953708,0.492332601397062,0.0132854608326685,0.471094239664828,0.0147513296661055,0.526103373776112,0.0116127496875312,0.535507950931218,0.0141042711762977,0.598038600236955,0.0143167405882297,0.659120056376942
0.0171303498970737,0.468965548692655,0.0141042711762977,0.492332601397062,0.0145324106796185,0.485881778732457,0.0158963970328962,0.51009171305152,0.0121455052040273,0.535507950931218,0.0149735464896618,0.579837631293389,0.0151991108295293,0.659120056376942
0.0179162351226007,0.468965548692655,0.0147513296661055,0.492332601397062,0.0149735464896618,0.485881778732457,0.0168761247578815,0.51009171305152,0.0128940577318558,0.535507950931218,0.0158963970328962,0.579837631293389,0.0158963970328962,0.659120056376942
0.0190204496336401,0.468965548692655,0.0156604845283283,0.477348735164377,0.0158963970328962,0.485881778732457,0.0181861286812932,0.51009171305152,0.0134855955305256,0.535507950931218,0.0168761247578815,0.579837631293389,0.0168761247578815,0.659120056376942
0.02019271916171,0.468965548692655,0.0161358633681077,0.477348735164377,0.0168761247578815,0.471094239664828,0.0193069772888325,0.51009171305152,0.0143167405882297,0.535507950931218,0.0176503469536369,0.579837631293389,0.0181861286812932,0.659120056376942
0.021119096016109,0.468965548692655,0.016625672479243,0.477348735164377,0.0176503469536369,0.471094239664828,0.02019271916171,0.51009171305152,0.0158963970328962,0.51921006718246,0.0184600879676637,0.579837631293389,0.0193069772888325,0.639060107618709
0.0224207094478062,0.468965548692655,0.0179162351226007,0.46282089448564,0.0184600879676637,0.471094239664828,0.0224207094478062,0.51009171305152,0.0168761247578815,0.51921006718246,0.0187381742286038,0.579837631293389,0.02019271916171,0.639060107618709
