,IwaterY,IwaterX,,iq1hno3Y,iq1hno3X,,I3hno3Y,I3hno3X,i3*q,q2
160,0.020117,0.075391,,0.022137,0.075391,,0.03654,0.075391,0.002754787,0.005683803
161,0.019958,0.07586,,0.022237,0.07586,,0.03637,0.07586,0.002759028,0.00575474
162,0.020212,0.076328,,0.022139,0.076328,,0.036461,0.076328,0.002782995,0.005825964
163,0.020009,0.076796,,0.021976,0.076796,,0.036364,0.076796,0.00279261,0.005897626
164,0.020145,0.077265,,0.022041,0.077265,,0.036315,0.077265,0.002805878,0.00596988
165,0.020211,0.077733,,0.022231,0.077733,,0.036184,0.077733,0.002812691,0.006042419
166,0.020388,0.078201,,0.02219,0.078201,,0.036558,0.078201,0.002858872,0.006115396
167,0.020474,0.078669,,0.022221,0.078669,,0.036544,0.078669,0.00287488,0.006188812
168,0.020435,0.079138,,0.022128,0.079138,,0.036499,0.079138,0.002888458,0.006262823
169,0.020582,0.079606,,0.022189,0.079606,,0.036424,0.079606,0.002899569,0.006337115
170,0.020111,0.080074,,0.022135,0.080074,,0.036171,0.080074,0.002896357,0.006411845
171,0.02016,0.080542,,0.0219,0.080542,,0.036396,0.080542,0.002931407,0.006487014
172,0.02049,0.081011,,0.022263,0.081011,,0.036235,0.081011,0.002935434,0.006562782
173,0.020088,0.081479,,0.022162,0.081479,,0.036363,0.081479,0.002962821,0.006638827
174,0.020134,0.081947,,0.021857,0.081947,,0.036186,0.081947,0.002965334,0.006715311
175,0.02037,0.082415,,0.022233,0.082415,,0.036377,0.082415,0.00299801,0.006792232
176,0.020264,0.082884,,0.022199,0.082884,,0.036196,0.082884,0.003000069,0.006869757
177,0.020329,0.083352,,0.02232,0.083352,,0.036296,0.083352,0.003025344,0.006947556
178,0.020001,0.08382,,0.021926,0.08382,,0.035931,0.08382,0.003011736,0.007025792
179,0.02011,0.084289,,0.021941,0.084289,,0.035903,0.084289,0.003026228,0.007104636
180,0.020334,0.084757,,0.022222,0.084757,,0.036151,0.084757,0.00306405,0.007183749
181,0.020085,0.085225,,0.022021,0.085225,,0.03613,0.085225,0.003079179,0.007263301
182,0.020117,0.085693,,0.022313,0.085693,,0.036137,0.085693,0.003096688,0.00734329
183,0.019992,0.086162,,0.022011,0.086162,,0.036102,0.086162,0.003110621,0.00742389
184,0.020198,0.08663,,0.022229,0.08663,,0.035931,0.08663,0.003112703,0.007504757
185,0.020473,0.087098,,0.022084,0.087098,,0.036117,0.087098,0.003145718,0.007586062
