0HNO3018TODGAX,0HNO3018TODGAY,073HNO3018TODGAX,073HNO3018TODGAY,2HNO3018TODGAX,2HNO3018TODGAY,3HNO3018TODGAX,3HNO3018TODGAY
0.008727670568231007,1.081556271722182,0.008586301743450125,1.9545321380765732,0.008633168407011593,6.484249721796408,0.008586301743450125,30.098358854598843
0.008968476533508782,1.0641983714020633,0.008727670568231007,1.9543104959673738,0.008871366954425064,6.483024255071173,0.009017429224074952,29.141115541667123
0.009266229947206212,1.0985326671496487,0.008919789591179068,1.92301845234777,0.009116137659975041,6.4817990199484745,0.009367661856684074,28.67126194393068
0.009470204080962977,1.080943173459196,0.0090666491134128,1.9228003838609427,0.009367661856684074,6.377772605211717,0.009731497357017052,28.208983979425906
0.009678668222789783,1.080779739293691,0.009316807867059797,1.9534241788421476,0.009731497357017052,6.376085188129432,0.010109464053941855,28.20152050833854
0.01000000000000001,1.0979514493229672,0.009573868773998868,1.9530549986849748,0.009838022272179395,6.375603150969824,0.010502110796366676,28.194059011919975
0.010220126345794249,1.0977854435760512,0.009784614848832262,1.9527597047955905,0.010054583061441118,6.374639185975039,0.010617071158638351,28.191927518421547
0.010502110796366676,1.0801670812211008,0.009945713252247697,1.9840106446022272,0.010109464053941855,6.374398217500255,0.01127221999875902,26.860299349712765
0.010850780866357199,1.079922115245825,0.010164644603701159,1.9522430479174855,0.010331999991955098,6.272332579781823,0.011395610288557876,26.85826868951567
0.011029433117916137,1.0626707802728201,0.010331999991955098,1.9520216653889606,0.010850780866357199,6.270198991872047,0.011773944540970334,26.00702184941931
0.011520351258490574,1.0623494616561873,0.010559434532252616,1.951726527735324,0.01127221999875902,6.26854003638035,0.012098800532973016,26.00210674878835
0.011710027625235795,1.0622289922247559,0.010675022383376014,1.9515789756427777,0.011520351258490574,6.267592258888497,0.012432619656674925,25.58479884825729
0.012098800532973016,1.0619880943437052,0.010850780866357199,1.9204032619873301,0.011838210334798732,6.1670036491958085,0.01312814333290558,24.770167688773252
0.01223123890839032,1.0619078071910981,0.011150165764092897,1.9509888788147252,0.012365127007954689,6.165138938959944,0.013638034132877465,24.370788591961926
0.012706294370042273,1.0787388959716533,0.011395610288557876,1.9197500202898352,0.012775649214671156,6.2630922723738465,0.014090816855117325,23.598380026860987
0.013056874912348615,1.0785350237151938,0.011967796184265071,1.9500303519963755,0.012985993384868603,6.262382043591055,0.014798331982375302,22.847860984083248
0.013563997680996576,1.061145381906431,0.01229800075487408,1.9187343081786428,0.013787321583275673,6.160479629755452,0.015373092109637932,22.47947598974065
0.014014322393093552,1.0440755873128162,0.012637316030308961,1.9183716841049068,0.014167728847333153,6.061610071015666,0.01614499166181678,22.115358545399047
0.014400992857474608,1.043878266119806,0.012845382619274606,1.918154142557234,0.014798331982375302,6.059777228522258,0.016772055406112537,21.758783974225544
0.014960320523412115,1.0436020790985512,0.013056874912348615,1.9179366256785684,0.01512408225668833,6.058861015109007,0.018100193392210556,20.399851353605005
0.01545700315275396,1.043365405526887,0.013199800758320345,1.9177916281297478,0.0156262017754432,5.961396977887872,0.019640123213756317,19.12506712962331
0.015970175644990373,1.0431287856293012,0.013938243194626205,1.917066804798035,0.01632172128563276,5.959594436719248,0.020965875491911135,18.221017673447783
0.016955649123881585,1.059502012995844,0.014245060648748654,1.9167769521756666,0.01659044961891213,5.86439223789429,0.022018594735887916,17.925877769315367
0.01742347400593543,1.0593017763427302,0.01471799665082709,1.885943298829667,0.017614198415779443,5.861954212451267,0.023504899165608845,16.540978724596894
0.017904206687547383,1.0591015775326003,0.014960320523412115,1.8857294346304347,0.01829832544679484,5.767439633126102,0.025504651013184346,15.019251147056918
0.01839820330900803,1.0589014165583017,0.015289636592285041,1.8555354977688228,0.019217104123021505,5.674019956414475,0.02782559402207126,13.856813865049723
0.01880319623536717,1.0587413150158567,0.0162331159690011,1.8547640891436015,0.020852058572487557,5.580847529329784,0.03019294232097139,13.20029974438106
0.019855111964445827,1.075400252133277,0.01632172128563276,1.8546939769912743,0.0221387789668195,5.5785273829756195,0.03205606171104161,12.377286017485497
0.02018201566852865,1.07527830275446,0.017048198247671856,1.824721041863329,0.023124172149659068,5.576840609673087,0.03421991762882519,11.239882071758293
0.020965875491911135,1.0749938079804078,0.017328887632102517,1.8245141202105506,0.02389189464642457,5.487130448076364,0.03692970908750498,10.206227583736393
0.0217801800554427,1.0576612625772717,0.017807010572332176,1.85357254292911,0.025091532471187037,5.398251155852894,0.04095369996241188,8.831883319299978
0.02274961206340564,1.0405688404290112,0.01839820330900803,1.853152179993026,0.026351405406303825,5.310811510209891,0.043010029452640694,8.150483010261448
0.023504899165608845,1.0403328547511757,0.019009023644065905,1.8527319123890615,0.02752430185576614,5.309205685866796,0.045664054323381734,7.28436412723908
0.024551098119753326,1.040018290428968,0.019640123213756317,1.8523117400955953,0.028906326768189657,5.223208378513904,0.04743762432475034,7.166915476808658
0.025643863206513025,1.0232109889886116,0.02062627500451618,1.8516816603153008,0.030029034656603518,5.138992547968126,0.0490125534141689,6.829681430421312
0.02663985857258773,1.0067133582190424,0.02119537646448959,1.8513317086080399,0.03170896255231496,5.055561201268166,0.0520369767264794,6.202306035627275
0.027674537921697828,1.0064470042075757,0.022259619200077213,1.8507019621938907,0.03348287141568193,4.9734843592784586,0.05347273376070676,5.910684422282094
0.028906326768189657,0.9901822343096508,0.02325039096058104,1.8207935403506361,0.03478333010649359,4.893294926717038,0.05524802847854394,5.5432120446359265
